Year,Value,Series
2016,74.8,Open Data Inventory (ODIN)
2017,74.8,Open Data Inventory (ODIN)
2018,78.8,Open Data Inventory (ODIN)
2019,78.8,Open Data Inventory (ODIN)
2020,76.0,Open Data Inventory (ODIN)
2022,77.2,Open Data Inventory (ODIN)
2024,78.3,Open Data Inventory (ODIN)
2024,92.35875,Statistical Performance Indicators (SPI)
2023,93.4616666666667,Statistical Performance Indicators (SPI)
2022,91.8216666666667,Statistical Performance Indicators (SPI)
2021,93.4208333333333,Statistical Performance Indicators (SPI)
2020,87.4366666666667,Statistical Performance Indicators (SPI)
2019,87.4658333333333,Statistical Performance Indicators (SPI)
2018,86.5708333333333,Statistical Performance Indicators (SPI)
2017,86.44875,Statistical Performance Indicators (SPI)
2016,86.2795833333333,Statistical Performance Indicators (SPI)
