Year,Value,GeoCode
2014,1.48,
2015,1.72,
2016,1.71,
2017,1.83,
2018,1.79,
2019,1.84,
2020,2.01,
2021,2.09,
2022,2.27,
2023,1.99,
2024,1.91,
