Year,Value,GeoCode,Progress
2015,-0.02,,115149911.52
2016,0.42,,115635418.46
2017,0.76,,116515224.09
2018,0.91,,117571231.54
2019,-0.04,,117526847.33
2020,0.23,,117796607.36
2021,0.95,,118911996.88
2022,0.1,,119026571.09
2023,-1.44,,117308407.26
