Year,Value,Units
2015,123.103738,"US dollar, Millions, 2023 constant prices"
2016,117.674513,"US dollar, Millions, 2023 constant prices"
2017,260.661463,"US dollar, Millions, 2023 constant prices"
2018,369.790235,"US dollar, Millions, 2023 constant prices"
2019,225.861623,"US dollar, Millions, 2023 constant prices"
2020,353.978274,"US dollar, Millions, 2023 constant prices"
2021,526.984388,"US dollar, Millions, 2023 constant prices"
2022,517.988304,"US dollar, Millions, 2023 constant prices"
2023,389.448619,"US dollar, Millions, 2023 constant prices"
