Year,Value,Units
2015,4541.92,"US dollar, Millions, 2022 constant prices"
2016,12605.09,"US dollar, Millions, 2022 constant prices"
2017,5220.1,"US dollar, Millions, 2022 constant prices"
2018,10481.99,"US dollar, Millions, 2022 constant prices"
2019,5493.9,"US dollar, Millions, 2022 constant prices"
2020,3274.96,"US dollar, Millions, 2022 constant prices"
2021,10331.26,"US dollar, Millions, 2022 constant prices"
2022,27670.78,"US dollar, Millions, 2022 constant prices"
