Year,Value,Units
2020,35.3786007271678,"Rate per 100,000 population"
2019,63.8010638118298,"Rate per 100,000 population"
2018,43.8814413440431,"Rate per 100,000 population"
2017,197.884393451101,"Rate per 100,000 population"
2016,264.051176042804,"Rate per 100,000 population"
2015,50.6770883601276,"Rate per 100,000 population"
2020,13454.0,Number
2019,24001.0,Number
2018,16268.0,Number
2017,72317.0,Number
2016,95351.0,Number
2015,18094.0,Number
