Year,Value,Units
2015,379.842149,"US dollar, Millions, 2023 constant prices"
2016,409.650996,"US dollar, Millions, 2023 constant prices"
2017,386.525317,"US dollar, Millions, 2023 constant prices"
2018,348.850018,"US dollar, Millions, 2023 constant prices"
2019,267.415357,"US dollar, Millions, 2023 constant prices"
2020,350.353924,"US dollar, Millions, 2023 constant prices"
2021,1207.520948,"US dollar, Millions, 2023 constant prices"
2022,927.206938,"US dollar, Millions, 2023 constant prices"
2023,436.241642,"US dollar, Millions, 2023 constant prices"
